Student Id,Name,Race,Location,Gender,Major,Question,Question Response,Response Value
8934727,Aaron Park,Black or African American,"('41.55815', '-73.0515', 'Waterbury', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Disagree,2
3502234,Alexis French,White,"('40.57788', '-73.95958', 'Brighton Beach', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
2537143,Nicholas Joseph,White,"('30.17746', '-81.38758', 'Palm Valley', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Agree,4
5149188,Benjamin Flores,White,"('39.00622', '-77.4286', 'Sterling', 'US', 'America/New_York')",Male,Bus,Civig Engagement,Agree,4
5328386,Gail Williams DDS,Hispanic or Latino,"('31.76212', '-95.63079', 'Palestine', 'US', 'America/Chicago')",Female,Bus,Civig Engagement,Agree,4
1616241,Katherine Rogers,White,"('38.54491', '-121.74052', 'Davis', 'US', 'America/Los_Angeles')",Female,Math,Civig Engagement,Agree,4
6687614,Gabrielle Pope,White,"('36.20829', '-115.98391', 'Pahrump', 'US', 'America/Los_Angeles')",Male,Chem,Civig Engagement,Agree,4
3585726,Julie Serrano,Asian,"('45.53929', '-122.38731', 'Troutdale', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Strongly Agree,5
3835971,Mrs. Lauren Vargas,White,"('47.38093', '-122.23484', 'Kent', 'US', 'America/Los_Angeles')",Male,Nurs,Civig Engagement,Agree,4
5943213,Barbara Zhang,White,"('41.27621', '-72.86843', 'East Haven', 'US', 'America/New_York')",Female,Bio,Civig Engagement,Agree,4
5464646,John Campbell,White,"('27.09978', '-82.45426', 'Venice', 'US', 'America/New_York')",Female,Ed,Civig Engagement,Agree,4
5652828,Sara Zavala,White,"('35.25064', '-91.73625', 'Searcy', 'US', 'America/Chicago')",Male,Ed,Civig Engagement,Strongly Agree,5
3434649,Luis Oconnell,Black or African American,"('34.77453', '-96.67834', 'Ada', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Agree,4
2295937,Amber Webster,Hispanic or Latino,"('32.54044', '-82.90375', 'Dublin', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Disagree,1
1861628,Steven Hernandez,White,"('34.06635', '-84.67837', 'Acworth', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Strongly Agree,5
1349741,Stephen Zhang,Black or African American,"('33.54428', '-84.23381', 'Stockbridge', 'US', 'America/New_York')",Male,Bus,Civig Engagement,Strongly Agree,5
7400659,Laura Wilson,White,"('33.41012', '-91.06177', 'Greenville', 'US', 'America/Chicago')",Female,Ed,Civig Engagement,Agree,4
7099914,Julie Jenkins,Black or African American,"('33.41012', '-91.06177', 'Greenville', 'US', 'America/Chicago')",Female,Bus,Civig Engagement,Neither Agree nor Disagree,3
4493037,Scott Sullivan,Black or African American,"('34.06635', '-84.67837', 'Acworth', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Strongly Disagree,1
3479533,Stephen Raymond,Asian,"('41.0051', '-73.78458', 'Scarsdale', 'US', 'America/New_York')",Female,Math,Civig Engagement,Strongly Agree,5
6868934,Matthew Miles,White,"('47.38093', '-122.23484', 'Kent', 'US', 'America/Los_Angeles')",Male,Bio,Civig Engagement,Strongly Agree,5
2810770,Michael Franco,White,"('36.91023', '-121.75689', 'Watsonville', 'US', 'America/Los_Angeles')",Male,Engi,Civig Engagement,Strongly Agree,5
6354503,Lori Jackson,White,"('33.08014', '-83.2321', 'Milledgeville', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
6649920,Joanna Hoover,White,"('43.61062', '-72.97261', 'Rutland', 'US', 'America/New_York')",Female,Engi,Civig Engagement,Neither Agree nor Disagree,3
3811569,Kyle Koch,Black or African American,"('40.60538', '-73.75513', 'Far Rockaway', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
3491364,Cory Diaz,White,"('40.82232', '-74.15987', 'Nutley', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
8203203,John Castro,White,"('33.95015', '-118.03917', 'South Whittier', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Agree,4
7828159,Keith Copeland,White,"('39.57582', '-105.11221', 'Ken Caryl', 'US', 'America/Denver')",Female,Nurs,Civig Engagement,Strongly Agree,5
1441547,Ronnie Wright,Black or African American,"('40.5576', '-74.28459', 'Woodbridge', 'US', 'America/New_York')",Male,Bus,Civig Engagement,Agree,4
3413336,Whitney Guerrero,White,"('40.94065', '-73.99681', 'Dumont', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Disagree,2
8144177,Craig Morton,Black or African American,"('30.5427', '-97.54667', 'Hutto', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
7709244,Luis Potts,White,"('33.03699', '-117.29198', 'Encinitas', 'US', 'America/Los_Angeles')",Female,Math,Civig Engagement,Strongly Agree,5
1892282,Sydney Martinez,White,"('42.97086', '-82.42491', 'Port Huron', 'US', 'America/Detroit')",Female,Engl,Civig Engagement,Strongly Agree,5
2445864,Misty Case MD,White,"('31.12406', '-97.90308', 'Copperas Cove', 'US', 'America/Chicago')",Male,Engi,Civig Engagement,Neither Agree nor Disagree,3
1766632,Shannon Lee,White,"('33.95015', '-118.03917', 'South Whittier', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Strongly Agree,5
4140039,Ryan Davis,Hispanic or Latino,"('38.06084', '-97.92977', 'Hutchinson', 'US', 'America/Chicago')",Female,Ed,Civig Engagement,Strongly Disagree,1
7703129,Judy Wade,Hispanic or Latino,"('33.44872', '-86.78777', 'Vestavia Hills', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Disagree,2
1939484,Anthony Kerr,White,"('39.72943', '-104.83192', 'Aurora', 'US', 'America/Denver')",Female,Bus,Civig Engagement,Neither Agree nor Disagree,3
6088455,Shane Curry,White,"('32.42067', '-104.22884', 'Carlsbad', 'US', 'America/Denver')",Female,Nurs,Civig Engagement,Agree,4
7599461,Billy Mcgrath,White,"('33.93113', '-117.54866', 'Norco', 'US', 'America/Los_Angeles')",Female,Bio,Civig Engagement,Strongly Agree,5
6907357,Peter Boyer,White,"('33.72255', '-116.37697', 'Palm Desert', 'US', 'America/Los_Angeles')",Male,Bio,Civig Engagement,Strongly Agree,5
6301262,Allen Ross,Black or African American,"('42.7392', '-84.62081', 'Waverly', 'US', 'America/Detroit')",Female,Math,Civig Engagement,Strongly Agree,5
7594958,David Horne,Black or African American,"('40.60538', '-73.75513', 'Far Rockaway', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
2481379,Jessica White,White,"('29.84576', '-90.10674', 'Estelle', 'US', 'America/Chicago')",Male,Ed,Civig Engagement,Disagree,2
3275087,Megan Cruz,White,"('40.60538', '-73.75513', 'Far Rockaway', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Disagree,2
4028511,Charles Rodriguez,White,"('26.68451', '-80.66756', 'Belle Glade', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
5927407,Michael Cruz,Hispanic or Latino,"('39.45621', '-77.96389', 'Martinsburg', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Agree,4
4407980,Calvin Collins,White,"('40.58654', '-122.39168', 'Redding', 'US', 'America/Los_Angeles')",Male,Nurs,Civig Engagement,Agree,4
2679917,Daniel Davis,White,"('32.5007', '-94.74049', 'Longview', 'US', 'America/Chicago')",Female,Bio,Civig Engagement,Strongly Agree,5
9713679,Kevin Ross,White,"('33.45122', '-86.99666', 'Hueytown', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Strongly Agree,5
4685521,Melissa Bennett,Hispanic or Latino,"('32.42067', '-104.22884', 'Carlsbad', 'US', 'America/Denver')",Female,Chem,Civig Engagement,Strongly Agree,5
1176016,Cindy Brooks,Hispanic or Latino,"('34.09668', '-117.71978', 'Claremont', 'US', 'America/Los_Angeles')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
4708499,Kevin Foley,Asian,"('34.14251', '-118.25508', 'Glendale', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Agree,4
1250844,Anthony Petersen,White,"('32.9156', '-117.14392', 'Mira Mesa', 'US', 'America/Los_Angeles')",Female,Engi,Civig Engagement,Disagree,2
5346272,Gina Graham,Black or African American,"('45.0408', '-93.263', 'Columbia Heights', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
4722397,Lisa Howard,White,"('38.54491', '-121.74052', 'Davis', 'US', 'America/Los_Angeles')",Female,Bus,Civig Engagement,Agree,4
6894616,Kimberly Smith,White,"('46.32374', '-120.00865', 'Sunnyside', 'US', 'America/Los_Angeles')",Female,Math,Civig Engagement,Neither Agree nor Disagree,3
9017942,Katrina Potter,Black or African American,"('35.05266', '-78.87836', 'Fayetteville', 'US', 'America/New_York')",Male,Engi,Civig Engagement,Strongly Agree,5
9058296,Juan Pierce,White,"('32.42067', '-104.22884', 'Carlsbad', 'US', 'America/Denver')",Female,Math,Civig Engagement,Agree,4
2627787,Susan Coleman,White,"('40.68066', '-73.47429', 'Massapequa', 'US', 'America/New_York')",Male,Bio,Civig Engagement,Agree,4
7613999,Cassandra Wood,Hispanic or Latino,"('32.54044', '-82.90375', 'Dublin', 'US', 'America/New_York')",Female,Engl,Civig Engagement,Neither Agree nor Disagree,3
5913570,Aaron Sanchez,Black or African American,"('39.43534', '-84.20299', 'Lebanon', 'US', 'America/New_York')",Female,Engl,Civig Engagement,Strongly Agree,5
4915462,Cynthia Webb,White,"('30.5427', '-97.54667', 'Hutto', 'US', 'America/Chicago')",Male,Ed,Civig Engagement,Strongly Agree,5
5971627,Nicole Choi,Black or African American,"('40.72371', '-73.95097', 'Greenpoint', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
9182743,Samuel Terry,White,"('42.97086', '-82.42491', 'Port Huron', 'US', 'America/Detroit')",Female,Math,Civig Engagement,Agree,4
4493646,Brian Davis,Hispanic or Latino,"('39.32011', '-76.51552', 'Rosedale', 'US', 'America/New_York')",Female,Ed,Civig Engagement,Disagree,2
5905330,David Yu,Black or African American,"('26.18924', '-98.15529', 'San Juan', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Disagree,2
1123901,Sarah Anderson,White,"('39.57582', '-105.11221', 'Ken Caryl', 'US', 'America/Denver')",Male,Bio,Civig Engagement,Strongly Agree,5
9333871,Yolanda Strong,White,"('41.8542', '-87.66561', 'Lower West Side', 'US', 'America/Chicago')",Male,Engi,Civig Engagement,Strongly Agree,5
2544367,Patricia Santiago,Asian,"('39.00622', '-77.4286', 'Sterling', 'US', 'America/New_York')",Female,Ed,Civig Engagement,Strongly Agree,5
8222661,Amanda Gibson,Black or African American,"('41.80753', '-87.65644', 'New City', 'US', 'America/Chicago')",Male,Bus,Civig Engagement,Strongly Disagree,1
3165631,Steven Anderson,White,"('40.63316', '-74.13653', 'Port Richmond', 'US', 'America/New_York')",Male,Engl,Civig Engagement,Strongly Agree,5
3389555,Jessica Hernandez,White,"('42.24113', '-88.3162', 'Crystal Lake', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Agree,4
5621635,Gerald Beard,Black or African American,"('33.7207', '-116.21677', 'Indio', 'US', 'America/Los_Angeles')",Female,Chem,Civig Engagement,Agree,4
1932794,Nicole Martinez DDS,White,"('29.84576', '-90.10674', 'Estelle', 'US', 'America/Chicago')",Female,Bus,Civig Engagement,Agree,4
7905165,Gregory Barker,Black or African American,"('29.84576', '-90.10674', 'Estelle', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
1181811,Gina Jones,White,"('32.9156', '-117.14392', 'Mira Mesa', 'US', 'America/Los_Angeles')",Male,Nurs,Civig Engagement,Agree,4
8633066,David Wood,Hispanic or Latino,"('40.63316', '-74.13653', 'Port Richmond', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Neither Agree nor Disagree,3
8153108,Jennifer Wood,White,"('41.55838', '-81.56929', 'Collinwood', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
9861389,Craig Bailey,White,"('42.4251', '-71.06616', 'Malden', 'US', 'America/New_York')",Male,Ed,Civig Engagement,Agree,4
6917180,Shari Adams,White,"('25.67927', '-80.31727', 'Kendall', 'US', 'America/New_York')",Male,Math,Civig Engagement,Agree,4
3859423,Christy Murphy,White,"('34.09611', '-118.10583', 'San Gabriel', 'US', 'America/Los_Angeles')",Male,Engi,Civig Engagement,Strongly Disagree,1
3650501,Ryan Joseph,White,"('39.09112', '-94.41551', 'Independence', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Strongly Agree,5
8324066,Kenneth Scott,White,"('33.45122', '-86.99666', 'Hueytown', 'US', 'America/Chicago')",Female,Bus,Civig Engagement,Disagree,2
6044540,Jason Haynes,White,"('33.98154', '-81.23621', 'Lexington', 'US', 'America/New_York')",Male,Ed,Civig Engagement,Disagree,2
9618429,Jessica Daniels,Black or African American,"('35.05266', '-78.87836', 'Fayetteville', 'US', 'America/New_York')",Female,Engi,Civig Engagement,Agree,4
7996967,Paul Howell,White,"('38.70734', '-77.02303', 'Fort Washington', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Strongly Agree,5
6870575,Stephen Wheeler,White,"('35.05266', '-78.87836', 'Fayetteville', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Disagree,1
4730534,Caroline Johnson,Hispanic or Latino,"('42.35843', '-71.05977', 'Boston', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Neither Agree nor Disagree,3
8221298,Holly Stephens,White,"('30.5427', '-97.54667', 'Hutto', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Agree,4
8636249,Jacqueline Blanchard,White,"('39.57582', '-105.11221', 'Ken Caryl', 'US', 'America/Denver')",Female,Bus,Civig Engagement,Strongly Disagree,1
6131887,Evelyn Bennett,White,"('40.56754', '-89.64066', 'Pekin', 'US', 'America/Chicago')",Female,Math,Civig Engagement,Agree,4
3739461,Samuel Moreno,White,"('32.9156', '-117.14392', 'Mira Mesa', 'US', 'America/Los_Angeles')",Male,Ed,Civig Engagement,Disagree,2
6983590,Emily Vasquez,Black or African American,"('42.52787', '-70.92866', 'Peabody', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Strongly Agree,5
7988209,Daniel Jones,Asian,"('43.16547', '-77.70066', 'Gates-North Gates', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Disagree,2
9116590,Travis Savage,White,"('33.92946', '-116.97725', 'Beaumont', 'US', 'America/Los_Angeles')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
1117748,Karen Davis,White,"('36.06523', '-119.01677', 'Porterville', 'US', 'America/Los_Angeles')",Female,Math,Civig Engagement,Agree,4
8953826,Amber House,White,"('26.91756', '-82.07842', 'Punta Gorda Isles', 'US', 'America/New_York')",Male,Ed,Civig Engagement,Disagree,2
2246048,Leslie Reyes,Black or African American,"('26.2173', '-80.22588', 'North Lauderdale', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
5837698,Ashley Nguyen,White,"('33.93113', '-117.54866', 'Norco', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Strongly Agree,5
2509188,Derrick Grant,White,"('27.71809', '-82.35176', 'Sun City Center', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Agree,4
6189505,Nicholas Proctor,White,"('32.5007', '-94.74049', 'Longview', 'US', 'America/Chicago')",Female,Math,Civig Engagement,Neither Agree nor Disagree,3
5468784,Daniel Washington MD,White,"('40.34912', '-111.90466', 'Saratoga Springs', 'US', 'America/Denver')",Female,Ed,Civig Engagement,Strongly Disagree,1
6506880,Connie Oconnell,White,"('40.58654', '-122.39168', 'Redding', 'US', 'America/Los_Angeles')",Male,Ed,Civig Engagement,Strongly Disagree,1
3858025,Melissa Hansen,Black or African American,"('45.16024', '-93.08883', 'Lino Lakes', 'US', 'America/Chicago')",Male,Nurs,Civig Engagement,Disagree,2
3173188,Beth Austin,White,"('39.96097', '-75.60804', 'West Chester', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Disagree,2
7986071,Eric Cabrera,White,"('41.27621', '-72.86843', 'East Haven', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Agree,4
9588262,Jody Patel,White,"('40.81', '-73.9625', 'Morningside Heights', 'US', 'America/New_York')",Male,Engi,Civig Engagement,Strongly Agree,5
4962831,Timothy Reyes,White,"('47.38093', '-122.23484', 'Kent', 'US', 'America/Los_Angeles')",Female,Chem,Civig Engagement,Disagree,2
1412136,Justin Hall,White,"('36.20829', '-115.98391', 'Pahrump', 'US', 'America/Los_Angeles')",Female,Bus,Civig Engagement,Neither Agree nor Disagree,3
4813974,Dalton Buchanan,Hispanic or Latino,"('33.41012', '-91.06177', 'Greenville', 'US', 'America/Chicago')",Female,Ed,Civig Engagement,Strongly Agree,5
1386375,Tammy Rivera,White,"('26.18924', '-98.15529', 'San Juan', 'US', 'America/Chicago')",Female,Ed,Civig Engagement,Agree,4
9871294,Aaron Anderson,White,"('33.41012', '-91.06177', 'Greenville', 'US', 'America/Chicago')",Female,Engi,Civig Engagement,Neither Agree nor Disagree,3
9659592,Kristy Cannon,Black or African American,"('39.78504', '-85.76942', 'Greenfield', 'US', 'America/Indiana/Indianapolis')",Male,Nurs,Civig Engagement,Agree,4
1339361,Christian Sanders,White,"('41.27621', '-72.86843', 'East Haven', 'US', 'America/New_York')",Male,Engl,Civig Engagement,Neither Agree nor Disagree,3
5760755,Daniel Johnson,White,"('33.92946', '-116.97725', 'Beaumont', 'US', 'America/Los_Angeles')",Female,Bus,Civig Engagement,Strongly Disagree,1
6048503,Frank Brown,Black or African American,"('28.54944', '-81.77285', 'Clermont', 'US', 'America/New_York')",Male,Engi,Civig Engagement,Disagree,2
9651081,Deborah Ross,Asian,"('42.93369', '-72.27814', 'Keene', 'US', 'America/New_York')",Female,Engi,Civig Engagement,Neither Agree nor Disagree,3
4095561,Debra Grimes,Black or African American,"('31.84568', '-102.36764', 'Odessa', 'US', 'America/Chicago')",Male,Nurs,Civig Engagement,Strongly Agree,5
1197951,Karen Bradford,White,"('38.17492', '-122.2608', 'American Canyon', 'US', 'America/Los_Angeles')",Female,Nurs,Civig Engagement,Disagree,2
9135882,Rodney Kelley,Black or African American,"('41.55838', '-81.56929', 'Collinwood', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
2462900,Juan Carter,White,"('38.91817', '-78.19444', 'Front Royal', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Agree,4
5857986,Johnathan Hoffman,White,"('33.72255', '-116.37697', 'Palm Desert', 'US', 'America/Los_Angeles')",Male,Bio,Civig Engagement,Strongly Agree,5
5919240,Deborah Evans,White,"('42.97086', '-82.42491', 'Port Huron', 'US', 'America/Detroit')",Male,Nurs,Civig Engagement,Strongly Agree,5
2653103,Joshua Powers,White,"('42.35843', '-71.05977', 'Boston', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Disagree,2
5973509,Randall Becker,Black or African American,"('41.48199', '-81.79819', 'Lakewood', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
3657321,Brandon Hill,Hispanic or Latino,"('34.14251', '-118.25508', 'Glendale', 'US', 'America/Los_Angeles')",Male,Nurs,Civig Engagement,Strongly Agree,5
9750860,Michael Price,Asian,"('45.53929', '-122.38731', 'Troutdale', 'US', 'America/Los_Angeles')",Female,Math,Civig Engagement,Neither Agree nor Disagree,3
2238683,Taylor Petty,White,"('40.72816', '-74.07764', 'Jersey City', 'US', 'America/New_York')",Male,Chem,Civig Engagement,Neither Agree nor Disagree,3
5188208,Jennifer Nichols,White,"('39.72943', '-104.83192', 'Aurora', 'US', 'America/Denver')",Female,Engi,Civig Engagement,Strongly Agree,5
8039152,Kristi Sawyer,White,"('38.58894', '-89.99038', 'Fairview Heights', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Disagree,2
1492018,Melissa Wilson,White,"('33.54428', '-84.23381', 'Stockbridge', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Neither Agree nor Disagree,3
1654974,Jeremy Day,White,"('30.17746', '-81.38758', 'Palm Valley', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
8633136,Steve Lozano,White,"('36.20829', '-115.98391', 'Pahrump', 'US', 'America/Los_Angeles')",Male,Ed,Civig Engagement,Disagree,2
2224908,Kim Sanchez,Hispanic or Latino,"('40.60538', '-73.75513', 'Far Rockaway', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
4025059,Timothy Taylor,Hispanic or Latino,"('32.35126', '-95.30106', 'Tyler', 'US', 'America/Chicago')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
2239293,Dawn Day,Black or African American,"('40.65995', '-111.99633', 'Kearns', 'US', 'America/Denver')",Female,Nurs,Civig Engagement,Agree,4
7517735,Dr. Harry Kelly,White,"('33.93113', '-117.54866', 'Norco', 'US', 'America/Los_Angeles')",Female,Nurs,Civig Engagement,Agree,4
9949025,Maria Brown,White,"('41.27621', '-72.86843', 'East Haven', 'US', 'America/New_York')",Male,Bus,Civig Engagement,Disagree,2
7348310,Nicholas Martinez,White,"('34.95303', '-120.43572', 'Santa Maria', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Agree,4
1837868,Shane Ellis,Asian,"('32.42067', '-104.22884', 'Carlsbad', 'US', 'America/Denver')",Female,Nurs,Civig Engagement,Agree,4
3497788,Alyssa Smith,Asian,"('43.1009', '-75.23266', 'Utica', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Agree,4
2900586,Emily Goodman MD,White,"('34.25628', '-78.04471', 'Leland', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
7415584,Angela Marshall,White,"('27.09978', '-82.45426', 'Venice', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Agree,4
7337045,Brian Fisher,White,"('41.48199', '-81.79819', 'Lakewood', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Strongly Agree,5
1068728,Kelly Burke,Black or African American,"('42.35843', '-71.05977', 'Boston', 'US', 'America/New_York')",Female,Bus,Civig Engagement,Strongly Disagree,1
9271969,Glenda Doyle,Black or African American,"('41.16704', '-73.20483', 'Bridgeport', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Neither Agree nor Disagree,3
9953918,Daniel Davis,Hispanic or Latino,"('32.44874', '-99.73314', 'Abilene', 'US', 'America/Chicago')",Female,Math,Civig Engagement,Neither Agree nor Disagree,3
4149830,Virginia Rose,Hispanic or Latino,"('28.15112', '-82.46148', 'Lutz', 'US', 'America/New_York')",Female,Math,Civig Engagement,Agree,4
8676332,Jacob Perez,White,"('36.61033', '-88.31476', 'Murray', 'US', 'America/Chicago')",Male,Bus,Civig Engagement,Strongly Agree,5
8380031,Dustin Lee Jr.,Asian,"('47.64995', '-117.23991', 'Opportunity', 'US', 'America/Los_Angeles')",Male,Engi,Civig Engagement,Strongly Agree,5
4262491,Tina Hernandez,Black or African American,"('34.25628', '-78.04471', 'Leland', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Agree,4
8195696,Paul Reed,Hispanic or Latino,"('40.2737', '-76.88442', 'Harrisburg', 'US', 'America/New_York')",Female,Engi,Civig Engagement,Agree,4
3688266,Joseph Fisher,White,"('40.60538', '-73.75513', 'Far Rockaway', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Strongly Disagree,1
5502258,Jennifer Mueller,Black or African American,"('42.4251', '-71.06616', 'Malden', 'US', 'America/New_York')",Female,Ed,Civig Engagement,Strongly Agree,5
8814943,Tracy Odom,White,"('40.68066', '-73.47429', 'Massapequa', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
3349231,Brett Cox,White,"('41.14676', '-73.49484', 'New Canaan', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Agree,4
5180757,Victor Nicholson,White,"('26.68451', '-80.66756', 'Belle Glade', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Strongly Disagree,1
9777829,Anthony Roberts,White,"('41.9001', '-71.08977', 'Taunton', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Neither Agree nor Disagree,3
2778594,Derrick Moyer,Black or African American,"('33.93113', '-117.54866', 'Norco', 'US', 'America/Los_Angeles')",Female,Bus,Civig Engagement,Agree,4
7985645,Kimberly Moody,White,"('27.71809', '-82.35176', 'Sun City Center', 'US', 'America/New_York')",Male,Engi,Civig Engagement,Agree,4
3820412,Alexis Brooks,Black or African American,"('39.71734', '-74.96933', 'Sicklerville', 'US', 'America/New_York')",Female,Engl,Civig Engagement,Agree,4
7940025,Ashley Page,Black or African American,"('28.90054', '-81.26367', 'Deltona', 'US', 'America/New_York')",Male,Nurs,Civig Engagement,Disagree,2
8430275,Sandra Wright,Black or African American,"('44.73941', '-93.12577', 'Rosemount', 'US', 'America/Chicago')",Female,Bus,Civig Engagement,Neither Agree nor Disagree,3
1588353,Valerie Hall,Black or African American,"('34.14251', '-118.25508', 'Glendale', 'US', 'America/Los_Angeles')",Male,Bus,Civig Engagement,Strongly Agree,5
2532777,Richard Patterson,Hispanic or Latino,"('29.65163', '-82.32483', 'Gainesville', 'US', 'America/New_York')",Female,Engi,Civig Engagement,Strongly Agree,5
6335158,Melissa Moore,White,"('29.53885', '-95.44744', 'Fresno', 'US', 'America/Chicago')",Female,Ed,Civig Engagement,Agree,4
3381101,Lisa Calhoun,Black or African American,"('33.98154', '-81.23621', 'Lexington', 'US', 'America/New_York')",Female,Nurs,Civig Engagement,Strongly Agree,5
